fecha,ciudad,temperatura,humedad,precipitacion_mm,viento_kmh
2024-01-21,BUENOS AIRES,28.9,63.2,4.2,9.3
2024-03-06,Buenos Aires,25.5,57.4,0.0,13.6
21/07/2024,Bariloche,4.1,"73,9",13.7,8.0
2024-05-14,Córdoba ,11.8,50.8,0.0,12.9
2024-04-27,San Carlos de Bariloche,10.7,66.3,0.0,11.8
2024-10-23,Buenos Aires,-99.0,56.6,0.0,15.0
2024-07-22,Cordoba,6.8 C,55.9,11.6,13.5
23-02-2024,Cordoba,28.3,"51,4",9.0,14.8
10/10/2024,Cordoba,18.4 C,53.9,0.0,9.8
2024-09-23, Bariloche,5.3,68.2,0.0,26.1
2024-10-18,Bariloche,13.0 C,"76,2",3.2,6.1
18-09-2024,Buenos  Aires,17.0,65.2,0.0,16.4
03 de Nov de 2024,Buenos Aires,16.7,74.2,0.0,20.6
2024-03-17,Córdoba ,25.6,57.5,0.0,10.3
2024-03-08,Bariloche,13.2,62.7,0.0,22.0
2024-09-04,cordoba,9.7,"70,8",0.0,21.7
22-06-2024, Bariloche,4.2,s/d,0.0,18.6
2024-12-04,Cordoba,26.6,"64,3",0.0,16.9
2024-08-04,bariloche,-0.3 C,70.6,1.7,3.4
2024-10-09,Bariloche,5.7,49.8,0.0,8.2
04 de Oct de 2024,Bariloche,6.2,85.5,6.9,14.2
2024-07-07, Buenos Aires,13.7,"70,5",0.0,8.8
20/02/2024,Bariloche,16.4,"69,9",4.0,20.3
08 de Sep de 2024,Buenos  Aires,14.1 C,"79,4",18.0,10.8
2024-03-12,Bs As,27.6,"70,7",0.0,14.4
2024-04-11,Buenos Aires,17.3 C,"67,7",0.0,14.3
2024-12-01,Cordoba,25.7 C,52.8,7.8,30.2
2024-07-18,buenos aires,8.0,"69,5",9.5,12.1
2024-07-12,Bariloche,1.8,72.2,0.0,15.9
2024-10-07,Buenos Aires,15.1,"71,0",,nan
09 de Jun de 2024,Cordoba,4.3,60.0,0.0,12.6
2024-10-03,cordoba,14.1 C,49.7,9.4,11.2
2024-09-18,Cordoba,12.8,"49,2",0.0,7.3
2024-04-11,Cordoba,16.9,55.0,0.0,13.0
2024-01-27,BARILOCHE,17.9 C,"70,8",0.0,2.8
2024-05-01,Córdoba ,-,"55,9",0.0,15.7
31 de May de 2024,Buenos Aires,12.2 C,63.1,0.0,10.9
01/12/2024,Bariloche,19.6 C,nan,0.0,13.7
2024-11-26,Buenos Aires,22.5,64.2,0.0,14.9
30 de Sep de 2024,Buenos Aires,15.8,70.4,0.0,16.7
2024-11-10,Bariloche,11.6,"64,0",0.0,4.7
19 de Jan de 2024,Cordoba,27.9,64.2,0.0,19.4
2024-04-14, Bariloche,9.2,67.2,,9.0
2024-03-26,Cordoba,24.1,60.7,0.0,10.7
31-12-2024,Buenos  Aires,24.0,61.5,0.0,8.9
2024-10-08,BUENOS AIRES,17.7,,0.0,16.5
2024-12-07,BARILOCHE,12.7,67.3,1.7,2.0
05-07-2024,Bariloche,0.8,79.6,0.0,18.4
2024-02-15,Cordoba,29.6 C,41.2,6.6,12.5
20 de Jan de 2024,San Carlos de Bariloche,18.3 C,67.6,0.0,12.7
2024-10-12,Cordoba,11.5,50.4,0.0,15.3
02-07-2024,BARILOCHE,0.3,80.1,9.4,17.3
17 de Feb de 2024,BARILOCHE,15.0,N/A,22.3,20.5
16/06/2024, Bariloche,-2.0,nan,0.0,25.2
2024-05-29,Buenos Aires,10.9,68.0,0.0,10.7
2024-05-12,Buenos Aires,-,62.2,0.0,4.2
2024-07-26,Buenos Aires,6.5,"64,4",0.0,18.1
2024-09-22,Cordoba,12.8,65.4,0.0,1.2
2024-08-06,Buenos Aires,2.0 C,65.7,0.0,11.1
2024-08-27, Buenos Aires,12.6,"64,2",20.3,15.9
2024-09-26,cordoba,12.9,64.4,0.0,19.5
11/07/2024,Buenos Aires,10.4,80.8,7.1,9.6
2024-07-10,Buenos Aires,,"68,0",13.7,24.9
03 de Jul de 2024,Bariloche,-,79.8,5.6,15.0
2024-12-02,Cordoba,24.9 C,"37,1",4.9,19.5
29/05/2024,San Carlos de Bariloche,5.9,71.0,0.0,23.6
2024-09-14,Cordoba,N/A,53.7,2.9,s/d
2024-06-14,Cordoba,8.9,"56,5",2.8,10.6
2024-03-30, Bariloche,12.6,68.9,0.0,8.8
03 de Dec de 2024,CÓRDOBA,24.0,"50,3",0.0,10.2
09/06/2024,Bariloche,3.3,96.1,0.1,N/A
19-11-2024,Buenos Aires,21.5,69.4,0.0,s/d
2024-03-21,Bariloche,10.0,"85,2",0.0,10.7
2024-01-25,Bariloche,15.6,75.4,0.7,4.9
23-10-2024,Cordoba,,61.8,3.0,9.5
2024-03-12,Cordoba,25.3,30.6,0.0,18.1
12-11-2024,Cordoba,26.5 C,52.7,0.0,6.1
2024-01-11,Bariloche,18.4,58.1,0.0,19.6
2024-08-10, Bariloche,1.8,-,0.0,10.2
2024-01-03,Buenos Aires,25.8,67.4,1.6,15.5
2024-08-17,Buenos Aires,10.8 C,57.8,0.0,19.8
16/05/2024, Bariloche,3.9,64.5,4.1,0.0
2024-12-17,Bariloche,13.8,"64,4",0.0,13.0
2024-09-18,Bariloche,5.1,71.6,0.0,16.2
30 de Oct de 2024,bariloche,7.7,83.7,0.5,11.8
2024-01-06,Cordoba,26.6 C,51.5,0.0,9.0
2024-06-29,Buenos  Aires,8.0 C,69.5,0.0,14.1
2024-10-10,BARILOCHE,5.8,79.4,0.0,13.8
2024-01-15,Bariloche,14.3,65.1,6.3,12.3
20 de Jun de 2024,Bariloche,4.3,"68,7",0.0,20.0
2024-01-24,Bariloche,17.9 C,"49,7",0.0,12.0
14-11-2024,Cordoba,23.7,"45,5",0.0,19.7
2024-12-22,Cordoba,30.6,48.7,5.3,25.6
2024-10-20,Bariloche,9.0 C,76.6,0.0,9.8
21-02-2024,Bariloche,19.1,64.1,14.4,10.3
2024-02-07,Buenos Aires,28.0,"53,5",0.0,6.1
2024-12-19,Buenos Aires,28.2,63.9,0.0,s/d
2024-08-02,Bariloche,2.0 C,72.3,0.1,5.5
2024-08-24,Buenos  Aires,13.0,70.2,-,14.4
2024-02-19,buenos aires,26.3 C,56.8,0.0,14.9
13-05-2024,Cordoba,11.6,57.5,N/A,17.7
2024-02-25,Buenos Aires,24.3,nan,0.0,14.5
2024-10-29,Buenos Aires,24.2,60.2,-,27.3
13/10/2024,Buenos Aires,16.3,"57,6",0.6,23.9
2024-08-07,buenos aires,12.0 C,78.1,-,25.1
2024-01-22,cordoba,26.0,"52,9",0.0,12.7
14-10-2024,cordoba,18.2 C,50.0,0.0,6.9
2024-01-25,cordoba ,29.5,47.8,8.7,14.4
18-12-2024,Buenos Aires,24.8,63.8,0.0,10.1
12-07-2024,Bs As,8.5,"72,4",6.2,17.7
2024-08-23,Buenos Aires,8.6,59.7,0.0,9.8
2024-11-01,Bariloche,11.0,"78,2",7.3,15.2
24 de Apr de 2024,Cordoba,17.8,"71,4",0.0,11.3
2024-04-26, Buenos Aires,13.2 C,67.4,0.0,25.8
26-04-2024,Bariloche,7.4 C,,0.0,3.2
2024-11-02,bariloche,9.5 C,84.8,0.0,14.8
2024-11-07,Córdoba ,23.6 C,"54,2",0.0,14.1
2024-02-09,Bariloche,17.8,57.3,0.0,24.2
2024-04-30,buenos aires,14.4,51.7,0.0,17.5
25 de Dec de 2024,cordoba ,27.8 C,54.4,0.3,s/d
26-05-2024,Bariloche,5.0,90.7,0.0,8.6
2024-11-15,CÓRDOBA,23.7,nan,0.0,22.0
03 de Mar de 2024,Buenos Aires,24.8 C,"51,7",0.0,6.4
2024-08-13,Cordoba,7.9,56.5,0.0,14.9
2024-03-28,Cordoba,19.0,"47,8",0.0,16.1
29/05/2024,Cordoba,13.8,71.0,0.0,6.0
2024-07-23,Cordoba,4.6,60.2,0.0,9.6
2024-08-11,Buenos Aires,10.2 C,"82,1",13.6,9.1
09-08-2024,BUENOS AIRES,11.4 C,"76,6",0.0,s/d
06/12/2024,Cordoba,N/A,47.1,0.0,-
2024-04-09,CÓRDOBA,14.5,62.7,0.0,20.8
22 de Feb de 2024,Buenos Aires,25.8,66.1,0.0,17.1
2024-10-21,Bariloche,9.1,"71,9",4.7,14.5
2024-04-29,Cordoba,16.7,44.6,11.5,8.9
2024-12-06,Bariloche,12.8 C,75.5,0.0,4.6
06/11/2024,bariloche,8.6,"49,1",0.0,9.4
04/06/2024,Buenos Aires,12.2,73.8,0.0,7.2
2024-03-16,Bariloche,nan,75.4,0.0,24.7
2024-02-15,Bariloche,14.4,78.2,0.0,N/A
2024-09-05,Buenos Aires,10.1,68.9,0.0,19.9
16-03-2024,Cordoba,20.6 C,69.9,0.0,12.9
2024-08-19,BARILOCHE,1.6,78.4,0.0,19.2
2024-10-24,Bariloche,13.4 C,70.3,9.7,15.3
2024-06-25,cordoba,,61.2,0.0,10.8
27-04-2024,BUENOS AIRES,,63.4,0.0,15.3
2024-08-30,Bariloche,0.9 C,"63,7",0.0,16.3
23-04-2024,San Carlos de Bariloche,5.8,63.4,N/A,3.9
2024-10-18,Buenos Aires,19.1,"68,6",21.8,13.6
2024-08-26,Bariloche,1.6,64.7,1.3,10.8
16/01/2024,Cordoba,24.1,52.6,0.0,13.1
2024-12-21,CÓRDOBA,25.6,"52,8",0.0,12.9
19/07/2024,Buenos Aires,11.8,65.8,3.0,22.7
2024-08-18,Cordoba,10.2 C,70.8,4.3,11.5
2024-05-13,Bariloche,7.3 C,"78,9",0.0,6.3
2024-12-03,Bariloche,18.1,"67,5",0.0,8.7
2024-06-05,Buenos Aires,14.6,67.7,0.0,13.5
2024-05-19,Cordoba,13.6,50.9,0.0,16.0
13 de Jul de 2024,Bariloche,3.7,"85,5",0.0,16.2
14-11-2024,Cordoba,23.7,"45,5",0.0,19.7
2024-12-06,BUENOS AIRES,24.7,77.8,0.0,8.8
2024-06-03,Buenos Aires,11.5,77.5,0.0,15.3
31 de Oct de 2024,Bariloche,10.7,55.5,3.5,10.4
2024-11-04,cordoba,21.5,64.7,0.0,6.8
2024-05-30,bariloche,4.4 C,"79,3",0.0,15.0
07/08/2024,Bariloche,-0.7,69.3,0.0,11.0
2024-11-18,Buenos Aires,nan,70.0,0.0,13.0
2024-12-28,Córdoba ,26.6 C,41.2,,22.6
2024-12-08,Cordoba,25.2,59.4,0.0,23.4
2024-03-23,Buenos Aires,24.1,"72,4",0.0,9.8
05 de Dec de 2024,Cordoba,26.3 C,54.3,0.0,s/d
08 de Apr de 2024,Cordoba,14.4,48.8,0.0,21.8
2024-10-29,Cordoba,21.5,s/d,0.0,18.3
2024-12-31,Bariloche,,67.8,0.0,20.3
2024-11-29,Buenos Aires,26.9,"72,1",0.0,5.1
2024-01-11,Buenos Aires,-,70.1,0.0,nan
2024-04-14,Cordoba,21.4,51.2,5.3,14.0
02 de Feb de 2024,Buenos Aires,24.4,"58,7",7.2,4.7
2024-11-24,Cordoba,24.8,"54,3",0.0,12.8
17 de Feb de 2024,Cordoba,25.5,53.5,0.0,12.2
2024-08-02,Cordoba,7.0,63.8,N/A,11.5
2024-01-17,cordoba ,30.3 C,48.4,0.0,17.1
2024-01-01, Bariloche,16.3,66.6,0.0,17.0
11/03/2024,bariloche,10.7,83.3,0.0,18.3
2024-11-29,Bariloche,14.4,"53,8",0.0,19.4
2024-01-12,Bariloche,16.5,76.1,1.7,7.4
2024-12-05,Bariloche,14.5 C,67.7,6.0,17.0
2024-01-13,Cordoba,25.7,s/d,0.0,11.9
2024-03-30,Bs As,18.3,66.5,1.0,12.3
2024-08-23,Cordoba,5.1,51.6,0.0,
2024-08-01,Buenos Aires,11.4 C,66.1,0.0,15.0
2024-10-17,Bariloche,11.0,"80,8",1.6,13.0
2024-05-13,Buenos Aires,14.0,-,7.0,8.6
2024-12-12,BUENOS AIRES,30.0,64.9,0.7,11.8
2024-01-29,Bariloche,16.7,"63,0",nan,16.7
08-01-2024,Buenos Aires,29.0,65.4,0.0,nan
2024-01-16, Bariloche,18.6,"73,8",0.0,21.5
16-11-2024,Buenos Aires,27.5,56.3,0.0,14.0
28/12/2024,Bariloche,20.7,"75,1",0.0,10.8
2024-07-06,Buenos Aires,6.1,65.1,0.0,N/A
2024-05-09,Bariloche,N/A,69.1,0.0,13.5
05-07-2024,Cordoba,7.5,58.3,s/d,6.5
31-10-2024,buenos aires,20.1,65.6,8.2,19.8
2024-02-01,BUENOS AIRES,23.5,"67,9",14.4,27.1
2024-01-09,BARILOCHE,19.6 C,73.2,0.0,19.2
28-08-2024,BUENOS AIRES,14.2,"75,6",nan,9.9
2024-08-16,San Carlos de Bariloche,1.9,79.6,1.6,17.3
23-06-2024, Buenos Aires,10.4,62.6,0.0,6.6
2024-09-02,Buenos Aires,13.0,71.2,2.2,10.6
2024-02-26,Buenos Aires,20.8,67.1,0.0,11.2
21-09-2024,cordoba,12.4,59.6,0.0,18.2
05 de Aug de 2024,Cordoba,6.9 C,40.6,12.3,13.6
2024-06-26,Bariloche,5.0 C,76.9,4.5,5.2
25/05/2024,Buenos Aires,999.0,73.9,0.0,11.5
2024-03-31,Buenos Aires,21.0,60.1,0.0,17.0
2024-01-27,Cordoba,25.3,"54,6",0.0,16.8
2024-11-06,Buenos Aires,21.9,"53,7",0.0,16.8
25-12-2024,Buenos  Aires,26.2 C,70.4,0.0,18.4
2024-04-03,Buenos Aires,21.0 C,s/d,0.0,19.8
2024-04-17, Bariloche,13.5,"76,9",0.0,8.5
2024-09-19,Bariloche,6.7 C,67.5,0.0,7.0
2024-01-11,Cordoba,25.5,48.5,0.0,8.9
31/08/2024,buenos aires,11.7,"70,1",0.0,9.9
15 de Oct de 2024,Bariloche,,78.7,0.0,8.3
2024-03-28,Buenos Aires,17.7,,0.0,12.7
2024-08-02,Buenos Aires,8.1,69.7,0.0,17.3
2024-03-19,Cordoba,21.5,36.2,-,8.6
2024-06-22,Buenos  Aires,7.5,67.3,0.0,8.4
2024-02-29,Cordoba,25.2,37.8,0.0,0.3
2024-07-22,Bariloche,5.1,63.7,0.0,12.3
28 de Apr de 2024,BUENOS AIRES,17.9 C,"64,1",0.0,10.8
29 de Apr de 2024,buenos aires,14.6 C,67.0,0.0,0.2
2024-03-13,Bariloche,,73.6,0.0,8.3
2024-02-08,Bariloche,17.1,65.4,0.0,15.4
2024-01-01,Buenos Aires,27.8,"62,0",0.0,7.3
29-01-2024,Cordoba,26.1,43.7,0.0,20.1
05/02/2024,Cordoba,23.9,57.4,0.0,13.5
2024-02-08,Cordoba,27.9 C,61.4,0.0,11.3
2024-12-21,Bariloche,13.8 C,73.5,11.1,15.2
2024-01-23,Bariloche,18.0,"54,7",0.0,16.6
11/06/2024,Buenos Aires,nan,57.4,0.0,12.4
2024-04-24,Buenos Aires,16.5,76.4,0.0,11.3
2024-09-27,Bariloche,2.1,76.4,0.0,17.3
2024-05-30,Buenos  Aires,13.6,"82,3",0.0,4.2
08/11/2024,Bariloche,13.4,66.2,0.0,2.8
2024-10-14,Bariloche,9.4 C,83.8,0.0,16.7
2024-05-27, Bariloche,0.8 C,"79,3",0.0,11.9
2024-01-03,Cordoba,24.6 C,41.3,2.9,9.1
26-06-2024,Cordoba,7.1 C,66.5,0.0,-
2024-04-21,cordoba ,14.7,49.2,3.4,10.3
2024-11-24,Bariloche,18.5,87.1,0.0,14.0
2024-06-15,Cordoba,7.7,71.7,0.0,19.9
2024-09-16,Córdoba ,15.0,"47,3",1.4,N/A
2024-05-05,Bariloche,0.8,79.1,0.0,14.8
26-05-2024,Cordoba,8.0,67.2,3.6,18.4
13-12-2024,cordoba,24.5,45.9,0.0,10.8
2024-03-13,Buenos Aires,23.5,"60,3",3.1,10.5
2024-09-15, Buenos Aires,9.5,63.2,0.0,15.3
2024-09-15,CÓRDOBA,10.1 C,57.5,0.0,11.0
2024-08-22,buenos aires,10.3,62.8,0.0,25.1
15 de May de 2024,Buenos Aires,12.7,65.6,0.0,18.6
2024-09-07,Cordoba,11.8,69.9,0.0,16.4
30/05/2024,Cordoba,11.5,"68,4",0.0,7.7
2024-02-07,Bariloche,17.1,81.4,0.0,nan
14-08-2024,Cordoba,5.2 C,50.6,0.0,4.9
18 de Aug de 2024,Bariloche,5.2,71.7,7.9,11.7
2024-05-15,cordoba ,11.8,56.2,0.0,9.7
21 de Jun de 2024,cordoba,7.8 C,70.9,13.3,6.2
2024-03-05,Bariloche,15.4,66.1,0.0,8.0
03-08-2024,Cordoba,8.0 C,55.5,0.0,17.2
2024-12-09,buenos aires,24.4,63.2,0.0,19.5
2024-03-29,Bariloche,9.4,-,14.2,15.4
2024-09-05, Bariloche,3.1,83.2,0.0,15.0
20/10/2024, Buenos Aires,16.6 C,75.3,0.0,10.3
2024-12-30,Buenos Aires,27.4,70.4,0.0,13.2
2024-07-20,Bariloche,0.8,84.9,0.0,24.2
2024-10-20,Córdoba ,19.2 C,"55,8",0.0,13.3
15/01/2024, Buenos Aires,29.3,-,0.0,12.8
16/11/2024,cordoba ,23.7,"56,1",0.0,8.1
27 de Mar de 2024,BUENOS AIRES,19.9,68.2,34.5,5.3
2024-01-05,Cordoba,24.7,36.0,,21.0
2024-06-14,Buenos Aires,9.1,"66,6",0.0,14.6
11/05/2024,Buenos Aires,15.8,56.8,0.0,
2024-12-01,Buenos Aires,24.0,55.0,0.0,3.2
29-02-2024,Buenos Aires,28.5,75.3,0.0,19.0
2024-12-09,cordoba ,25.4,49.0,0.0,12.2
06/11/2024,Cordoba,23.5 C,69.3,0.0,15.5
20/12/2024,Buenos Aires,27.8 C,68.2,0.0,11.8
2024-02-28,Cordoba,25.9,"49,4",N/A,8.2
2024-10-19,Buenos Aires,17.0,65.4,0.0,8.8
2024-02-11,Buenos Aires,23.6,69.7,0.0,21.6
2024-11-25,Buenos Aires,21.0,"57,0",12.1,16.5
2024-09-05,CÓRDOBA,8.9 C,60.3,16.8,9.3
2024-03-04,cordoba ,-99.0,57.0,9.7,11.7
20-03-2024,Buenos  Aires,22.0 C,"71,3",0.0,12.1
2024-11-23,Cordoba,23.6 C,50.4,29.6,11.1
2024-01-29,BUENOS AIRES,26.7,49.8,0.0,14.4
2024-12-07,Cordoba,29.5,61.0,0.0,13.6
2024-09-11,Buenos Aires,10.8,66.5,0.0,13.9
2024-06-23, Bariloche,-0.1 C,85.3,N/A,17.4
2024-04-02,Cordoba,20.3,59.0,18.6,14.4
2024-01-18,cordoba ,26.8 C,40.6,nan,0.0
2024-11-09,Buenos Aires,20.3 C,58.0,0.0,17.8
2024-03-25,Buenos Aires,19.4,63.6,11.5,9.1
27 de Jul de 2024,CÓRDOBA,5.2,50.8,0.0,
2024-05-16, Buenos Aires,14.6,82.1,0.0,3.4
2024-04-21,Buenos Aires,18.9,66.2,0.0,4.0
2024-07-13,BUENOS AIRES,-,"77,9",0.0,21.7
2024-06-27,Buenos Aires,11.6,"72,5",0.0,11.8
2024-07-08,cordoba ,6.8,53.9,0.0,4.6
2024-12-23,Cordoba,24.1 C,"59,7",0.2,11.8
2024-05-10,Cordoba,15.1,62.7,0.0,9.4
2024-05-09,Buenos Aires,15.9,"73,1",0.0,13.5
2024-12-15,Cordoba,27.1 C,60.4,0.0,10.9
2024-12-03,Buenos Aires,24.7,71.2,6.1,9.2
2024-06-10,San Carlos de Bariloche,2.4,"81,2",5.1,14.7
2024-08-30,cordoba ,7.3,"72,1",7.0,12.0
2024-05-04,Buenos Aires,13.2,"69,6",0.0,23.1
14-07-2024,Buenos Aires,11.3,-,0.0,17.8
2024-08-14,Buenos  Aires,13.4 C,74.1,11.5,17.2
2024-11-19,cordoba ,25.7,45.7,0.0,13.1
2024-09-25,BUENOS AIRES,13.2,73.8,0.3,19.1
01 de Jun de 2024,Buenos Aires,7.6,"83,6",0.0,15.1
06-08-2024,Cordoba,5.2,71.2,14.6,13.6
2024-04-13,Buenos Aires,19.5,76.3,0.0,23.2
2024-08-15,Cordoba,9.9 C,54.3,12.3,23.2
2024-03-22,Buenos Aires,nan,59.4,3.2,26.6
03/05/2024,bariloche,9.9 C,91.7,0.0,11.6
2024-02-14,BARILOCHE,17.4,53.5,0.3,23.0
07/03/2024,Bariloche,15.1,76.7,0.0,7.4
15-08-2024,Buenos Aires,10.3,"82,0",,5.4
2024-11-15,BARILOCHE,17.4,68.2,0.0,nan
2024-10-28,Buenos Aires,18.5,"61,1",0.0,19.4
2024-10-02,Buenos Aires,16.9,61.6,0.0,17.9
2024-05-06,Bs As,16.9,"85,0",0.0,14.2
2024-02-09,cordoba ,29.8 C,51.0,9.5,19.1
2024-02-13,BARILOCHE,,nan,0.0,21.3
2024-09-15,Bariloche,5.2 C,"77,6",8.4,11.9
2024-02-03,Bariloche,19.6,63.5,0.0,12.3
13-11-2024,Cordoba,24.2,55.8,0.0,7.9
2024-01-18,Bariloche,18.9,70.7,6.9,17.0
2024-11-18,Bariloche,6.8,73.8,25.5,15.5
06 de Feb de 2024,Buenos Aires,22.8 C,"64,8",18.2,15.6
2024-05-19,Buenos Aires,12.2 C,"66,8",13.5,11.4
2024-10-30,Buenos  Aires,17.6,70.9,0.0,9.6
24/09/2024,Buenos Aires,15.4,67.7,7.7,21.4
2024-06-16,Cordoba,4.4 C,64.7,0.0,18.1
2024-06-28,Cordoba,5.9,"56,3",0.0,17.5
31 de Jul de 2024,Buenos Aires,10.1,69.8,2.0,28.1
12/04/2024,CÓRDOBA,16.4,"53,0",0.0,20.7
2024-07-17,Buenos Aires,8.0 C,80.1,0.0,14.6
02 de Nov de 2024,Cordoba,19.4,"58,6",0.0,18.5
2024-06-10,CÓRDOBA,5.8,"38,6",0.0,12.9
2024-11-05,CÓRDOBA,22.5,"63,9",14.5,17.8
12-08-2024,Bariloche,-0.8,"77,7",0.0,10.9
2024-08-29,Buenos  Aires,nan,"71,3",7.0,5.4
2024-12-08,Buenos Aires,23.8,72.3,nan,4.4
2024-07-02,Cordoba,s/d,54.7,0.0,16.9
2024-01-21,Cordoba,28.7,"51,0",0.5,8.1
28/10/2024,Bariloche,9.7,79.3,23.6,12.9
2024-07-25,Buenos Aires,6.9,64.5,0.3,2.4
22 de Oct de 2024,Bs As,15.6,66.3,0.0,13.0
25/11/2024,Córdoba ,22.5,"50,3",0.0,4.7
2024-07-17, Bariloche,1.9,77.3,0.0,-
2024-03-14,Bs As,24.6,68.2,0.0,9.8
03-09-2024,Bariloche,-1.1,74.0,0.0,23.1
2024-04-14,Buenos Aires,18.9,"61,9",0.0,14.7
2024-04-13,BARILOCHE,14.3,"77,1",0.0,6.4
2024-06-24,Bariloche,2.0,84.7,0.0,9.8
2024-12-29,Bariloche,16.8,61.8,0.0,15.3
2024-01-17,BUENOS AIRES,29.6,55.8,0.0,nan
14/03/2024,Córdoba ,24.9,"65,3",0.0,21.9
2024-04-01,BUENOS AIRES,20.4,"55,2",0.0,8.9
2024-03-29,Buenos Aires,16.2,79.1,0.0,13.9
2024-07-15,Bariloche,3.3,88.6,2.3,13.2
25-03-2024,cordoba ,17.0,40.5,0.0,18.6
2024-12-17,CÓRDOBA,27.8,41.8,16.6,18.1
2024-04-12,buenos aires,17.8 C,"54,9",24.6,5.8
2024-08-26,Buenos Aires,12.0 C,75.4,0.0,16.8
2024-08-21,Bariloche,1.7 C,85.9,0.0,16.3
2024-09-03,Bs As,17.4 C,71.1,0.0,12.7
2024-05-11,Bariloche,8.6,77.7,0.0,20.6
2024-06-06,Buenos Aires,12.7,"92,2",0.0,s/d
2024-04-23,CÓRDOBA,13.1,54.0,0.0,28.0
06 de Oct de 2024,Cordoba,13.7,72.0,0.0,19.8
2024-01-06,Buenos  Aires,26.4 C,63.6,0.0,5.5
2024-09-22,bariloche,6.3,60.4,10.4,15.2
19-01-2024,Buenos Aires,30.3,nan,0.0,0.0
2024-05-02,Bariloche,5.1,74.8,0.0,N/A
01 de May de 2024,Buenos Aires,16.3,94.0,4.7,20.7
08-10-2024,bariloche,10.3,64.1,0.0,20.0
2024-05-01,Bariloche,8.6,"67,2",N/A,11.4
2024-10-01,Buenos Aires,18.1 C,46.0,0.0,8.8
2024-03-08,Cordoba,25.7,59.2,0.7,15.3
2024-09-09, Bariloche,5.7,"69,0",0.0,10.1
2024-11-23,bariloche,-,"83,7",0.0,11.1
07/11/2024,buenos aires,26.2 C,56.7,0.0,6.6
2024-07-04,Bariloche,6.0,74.0,0.0,9.6
2024-10-07,Bariloche,7.3,66.1,11.6,15.7
18/02/2024,San Carlos de Bariloche,16.6,58.6,2.9,0.5
2024-06-29,Cordoba,6.5,"62,5",0.0,26.1
2024-06-30, Buenos Aires,10.1 C,,19.7,9.3
03/07/2024,BUENOS AIRES,7.0,,0.0,3.0
2024-02-10,Cordoba,25.5,"58,7",0.0,N/A
2024-12-19,Córdoba ,29.6,"45,4",0.0,16.8
2024-08-28,Cordoba,10.4,46.4,0.0,17.3
2024-11-22,cordoba,24.3,58.5,0.0,21.2
2024-06-03,Cordoba,7.7 C,57.5,0.0,21.4
2024-01-15,Cordoba,32.1,62.3,3.6,14.8
2024-02-14,Cordoba,26.4,"54,3",0.0,20.9
25/09/2024,cordoba ,14.4 C,"49,3",9.5,nan
04-01-2024,Córdoba ,23.2,54.8,0.0,16.0
04/09/2024,Bariloche,4.7,70.9,0.0,20.4
05 de Oct de 2024,bariloche,10.3 C,71.1,4.4,13.6
2024-09-10,Bariloche,2.4,"73,9",27.4,24.0
2024-03-19, Buenos Aires,21.2 C,67.8,0.0,21.8
2024-05-10,Bariloche,6.4,83.7,0.0,15.5
2024-07-26,Cordoba,4.7,69.5,0.0,8.1
13-11-2024,Cordoba,24.2,55.8,0.0,7.9
2024-09-28,Cordoba,13.2 C,75.8,0.0,16.6
29 de Aug de 2024,cordoba ,9.8,61.7,0.0,6.0
2024-08-14,Bariloche,-0.2,79.7,0.0,12.7
2024-03-09,buenos aires,23.5,83.8,0.0,8.1
2024-05-07,Bariloche,5.2,89.8,0.0,9.0
2024-10-03,BARILOCHE,5.7,"72,0",14.5,9.7
2024-12-09,San Carlos de Bariloche,17.7,61.7,0.0,15.2
20 de Feb de 2024,Cordoba,24.9,58.9,10.0,10.6
14/06/2024,Bariloche,5.0 C,78.8,0.0,s/d
14/07/2024,Cordoba,5.6,47.7,0.0,25.9
2024-03-08,Buenos Aires,20.4,61.4,0.0,14.8
2024-06-19,cordoba,7.2,"61,3",0.0,12.8
18/03/2024,Buenos  Aires,21.8,63.9,0.0,20.6
2024-04-15,Buenos Aires,21.5 C,69.3,0.0,20.9
2024-06-29,Buenos  Aires,8.0 C,69.5,0.0,14.1
2024-07-28, Bariloche,-2.1,"88,5",0.3,18.8
29 de Sep de 2024,Cordoba,13.7,"51,6",0.0,20.1
2024-07-12,Cordoba,3.3,54.3,0.0,10.4
2024-04-24,Bariloche,3.9 C,61.9,0.0,26.0
20 de Jul de 2024,Buenos Aires,9.5,81.2,0.0,5.1
20/11/2024,CÓRDOBA,20.9,"57,1",0.0,13.0
2024-12-25,Bariloche,15.3,"51,0",5.0,14.3
2024-11-04, Bariloche,11.6,73.0,0.0,15.5
19-12-2024,Bariloche,18.5,"62,7",0.0,19.4
2024-11-05,Bariloche,12.9,80.9,0.0,16.2
2024-01-04,Bariloche,18.0,59.4,0.0,8.1
2024-07-25,Bariloche,-2.0,"73,7",19.7,nan
2024-05-04,cordoba,13.2,64.6,0.0,17.9
2024-11-21,Cordoba,24.0 C,44.8,0.0,s/d
2024-04-07,Bariloche,9.3 C,"64,0",0.0,16.0
2024-10-19,Bariloche,7.0,70.8,0.0,11.7
2024-08-27,Cordoba,6.3 C,65.3,0.0,23.2
29 de Dec de 2024,Buenos Aires,32.4,"67,7",0.0,3.4
2024-03-10, Buenos Aires,N/A,,7.1,10.4
2024-07-01,Cordoba,7.5,55.2,0.0,-
